Feature,Pearson Correlation
I(quantity is dry),-0.398
I(waterpoint type group is other) ,-0.306
I(extraction type group is other),-0.292
I(extraction type class is other),-0.292
I(quantity is enough),0.258
I(payment type is never paid),-0.172
I(water quality is unknown),-0.162
I(region is Iringa),0.142
I(extraction type group is gravity),0.132
I(extraction type class is gravity),0.132
I(water quality is soft),0.127
I(management is vwc),-0.12
I(funder is Government of Tanzania),-0.119
I(payment type is monthly),0.114
I(payment type is annually),0.113
